topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1240603314980392966	http://twitter.com/user/status/1240603314980392966	#SamenTegenCorona: applaus voor zorghelden, huisarts wordt dj en Aurelie (10) maakt pakkende video https://t.co/3b8Ksws7jF https://t.co/Riyx8Yo3iU	0
COVID-19	1238094774453833730	http://twitter.com/user/status/1238094774453833730	Kabinet ondersteunt ondernemer in Corona-crisis https://t.co/OhdYpHSezS #coronavirusNederland	0
COVID-19	1238154603583156225	http://twitter.com/user/status/1238154603583156225	Heropening van het @airbornemuseum in #Oosterbeek uitgesteld #Airborne #Covid19 #coronavirus https://t.co/dK6vP1ozay https://t.co/NoRWJKnhmw	0
COVID-19	1239152526026518534	http://twitter.com/user/status/1239152526026518534	Aantal restaurants in #groningen nu op slot. #blijfthuis	1
COVID-19	1244341963480076290	http://twitter.com/user/status/1244341963480076290	Nederland heeft het niet in de hand. Onbetrouwbaar #RIVM weet nog steeds niet waar het mee bezig is en politiek grijpt niet in. #COVID2019NL #Coronavirusnl #RIVM RIVM verwacht toch meer #coronapatiënten op intensive care https://t.co/YJcwMbc4ko	1
COVID-19	1242875052300869633	http://twitter.com/user/status/1242875052300869633	Zelfs de klokken van de Gertrudiskerk luiden vanavond voor hoop en troost. #COVID19NL https://t.co/W9A6ubxw0J	0
COVID-19	1243450283885309952	http://twitter.com/user/status/1243450283885309952	Duitsland heeft relatief weinig doden op veel besmettingen.  Wat doet Duitsland anders/beter? #COVID19NL https://t.co/Z7tmjhFtze	1
COVID-19	1254463173643698178	http://twitter.com/user/status/1254463173643698178	Hoi Lilian. Jouw conclusie klopt niet. Conclusie moet zijn dat ten onrechte #influenza en #covid19 ten onrechte juist als even gevaarlijk gestempeld worden. ⬇️ https://t.co/NCrS6gWEZ6 ⬇️ https://t.co/qZe60ZKKQ0 https://t.co/owags8uJqh	0
COVID-19	1245747271750295552	http://twitter.com/user/status/1245747271750295552	Politiebond: test bij verdenking van coronaspuger https://t.co/29nizZ6UEe #Coronavirus #Corona #COVID2019NL #COVID19	0
COVID-19	1235620807847620608	http://twitter.com/user/status/1235620807847620608	Dit, we zijn fucked: #GGD en #RIVM testen liever niet ➡️ want dan blijft het aantal vastgestelde zieken lekker laag  ➡️ test je positief? Vooral niet doorvertellen. Zeker niet de mensen waarschuwen waarmee je contact hebt gehad, want dan willen die ook getest worden. https://t.co/X34AliVzAe	1
COVID-19	1238481431132766210	http://twitter.com/user/status/1238481431132766210	Extra #coronavirus maatregel: #Nederland weert vluchten uit #Italië, #Iran, #China en #ZuidKorea!!! #Coronavirusnl https://t.co/oQzRPasCN0	1
COVID-19	1254436690569068546	http://twitter.com/user/status/1254436690569068546	17:46:43u | Dode man aangetroffen in auto op de | Politie Limburg (Noord) Persinformatie | ^TZ #StaySafe #BlijfThuis	0
COVID-19	1248964026635374592	http://twitter.com/user/status/1248964026635374592	covid19 is nr.6 trending hashtag in NL in afgelopen 4 uur. https://t.co/7Dx5eMswA7 #covid19	0
COVID-19	1243856455071150080	http://twitter.com/user/status/1243856455071150080	De meeste geïnfecteerden ervaren corona als een griep. Zouden we kunnen volstaan met #anderhalvemeter afstand? Ook in restaurants ed.  vraag voor @rivm: Kunnen we volstaan met kwetsbare groepen beschermen en eventueel isoleren? Hulpverleners kunnen beschermende kleding dragen?	1
COVID-19	1240310892979519498	http://twitter.com/user/status/1240310892979519498	Retweet! @NSPOH ontwikkelde met @rivm een e-learning Kennis over #COVID19 Bedoeld voor #artsen en #verpleegkundigen die nu worden ingezet in de bestrijding van uitbraak #COVID19 https://t.co/kPZ14iYtcp https://t.co/2qFqeRx0A9	0
COVID-19	1237392981113491458	http://twitter.com/user/status/1237392981113491458	De #BrandweerBRZO netwerkdag van 12 maart wordt uitgesteld i.v.m. #COVID19. Aanmelden heeft dus geen zin meer.	0
COVID-19	1247538226262204418	http://twitter.com/user/status/1247538226262204418	Ook van het #LCPS: De huidige maatregelen zullen waarschijnlijk langer duren..  #covid19nl #coronavirusnederland #coronavirusnl #rivm #ikblijfthuis https://t.co/zyIjBt7mAy https://t.co/OIBICAaZIX	0
COVID-19	1241733654088482817	http://twitter.com/user/status/1241733654088482817	@VoetbalPrimeur let op het is niet alleen gevaarlijk voor met een zwakke gezondheid, dat denken veel mensen wel #coronavirusNederland	1
COVID-19	1239165105251721218	http://twitter.com/user/status/1239165105251721218	Ook het verhaal dat jongeren enkel besmet raken blijkt niet te kloppen..... #scholendicht #coronavirusnetherlands #CoronaVirusUpdates #Coronavirusnl  https://t.co/dUVysPe7aR	1
COVID-19	1239894562023276544	http://twitter.com/user/status/1239894562023276544	#Euro2020 wordt uitgesteld naar 2021. #rodeduivels #covid19 #uefa https://t.co/ENOCs285me	1
COVID-19	1245421989050941441	http://twitter.com/user/status/1245421989050941441	Ik heb deze hele dag nog geen 1-aprilgrap gezien of gehoord. #houdafstand	0
COVID-19	1238108221178613773	http://twitter.com/user/status/1238108221178613773	Extra maatregelen zegt het @rivm - die worden nu toegelicht https://t.co/qGHY32zWFa #persconferentie https://t.co/YiCSMq3DCM	0
